"Species","HighCount","LowCount","UnclassifiedCount","RecordCount","Trials","BinaryID"
"Nothobranchius_kadleci",0,0,0,0,0,"binary:Nothobranchius_kadleci"
"Nothobranchius_pienaari",0,0,0,0,0,"binary:Nothobranchius_pienaari"
"Nothobranchius_rachovii",0,0,0,0,0,"binary:Nothobranchius_rachovii"
"Gambusia_affinis",0,0,0,0,0,"binary:Gambusia_affinis"
"Gambusia_holbrooki",0,0,0,0,0,"binary:Gambusia_holbrooki"
"Poecilia_formosa",0,0,0,0,0,"binary:Poecilia_formosa"
"Poecilia_latipinna",0,1,0,1,1,"binary:Poecilia_latipinna"
"Poecilia_mexicana",0,0,0,0,0,"binary:Poecilia_mexicana"
"Poecilia_reticulata",0,3,0,3,3,"binary:Poecilia_reticulata"
"Poeciliopsis_prolifica",0,0,0,0,0,"binary:Poeciliopsis_prolifica"
"Poropanchax_normani",2,0,0,2,2,"binary:Poropanchax_normani"
"Xiphophorus_couchianus",0,0,0,0,0,"binary:Xiphophorus_couchianus"
"Xiphophorus_hellerii",0,4,0,4,4,"binary:Xiphophorus_hellerii"
"Xiphophorus_maculatus",0,1,0,1,1,"binary:Xiphophorus_maculatus"
"Austrofundulus_limnaeus",0,0,0,0,0,"binary:Austrofundulus_limnaeus"
"Kryptolebias_marmoratus",0,0,0,0,0,"binary:Kryptolebias_marmoratus"
"Nematolebias_whitei",0,0,0,0,0,"binary:Nematolebias_whitei"
"Chelon_labrosus",0,0,0,0,0,"binary:Chelon_labrosus"
"Mugil_cephalus",1,1,0,2,2,"binary:Mugil_cephalus"
"Planiliza_haematocheilus",0,0,0,0,0,"binary:Planiliza_haematocheilus"
"Gouania_willdenowi",0,0,0,0,0,"binary:Gouania_willdenowi"
"Blennius_ocellaris",0,0,0,0,0,"binary:Blennius_ocellaris"
"Lipophrys_pholis",0,0,0,0,0,"binary:Lipophrys_pholis"
"Ophioblennius_macclurei",0,0,0,0,0,"binary:Ophioblennius_macclurei"
"Salarias_fasciatus",0,0,0,0,0,"binary:Salarias_fasciatus"
"Cristiceps_australis",0,0,0,0,0,"binary:Cristiceps_australis"
"Dicentrarchus_labrax",0,0,0,0,0,"binary:Dicentrarchus_labrax"
"Morone_saxatilis",0,0,0,0,0,"binary:Morone_saxatilis"
"Scatophagus_argus",0,0,0,0,0,"binary:Scatophagus_argus"
"Collichthys_lucidus",0,0,0,0,0,"binary:Collichthys_lucidus"
"Larimichthys_crocea",2,0,0,2,2,"binary:Larimichthys_crocea"
