"Version","Design","Route","Model","Species","Records","SumDifference","MeanDifference","ContributionToRecordMean","ContributionToSpeciesMean"
"v34_record_training","fivefold","binary","M1","Lateolabrax_japonicus",4,-0.104572492689479,-0.0261431231723698,-0.000687976925588678,-0.000522862463447396
"v34_record_training","fivefold","binary","M1","Lateolabrax_maculatus",1,0.076424918805086,0.076424918805086,0.000502795518454513,0.00152849837610172
"v34_record_training","fivefold","binary","M1","Lates_calcarifer",4,-0.00190215754829587,-0.000475539387073967,-1.25141943966833e-05,-9.51078774147934e-06
"v34_record_training","fivefold","binary","M1","Lethrinus_nebulosus",2,-0.88567600594376,-0.44283800297188,-0.00582681582857737,-0.0088567600594376
"v34_record_training","fivefold","binary","M1","Lutjanus_erythropterus",1,0.12687845763055,0.12687845763055,0.000834726694937829,0.002537569152611
"v34_record_training","fivefold","binary","M1","Maccullochella_peelii",8,-0.00746873846875595,-0.000933592308594494,-4.91364372944471e-05,-1.86718461718899e-05
"v34_record_training","fivefold","binary","M1","Micropterus_salmoides",3,-0.057299651859648,-0.019099883953216,-0.000376971393813474,-0.00038199767906432
"v34_record_training","fivefold","binary","M1","Mugil_cephalus",2,-0.051523610505237,-0.0257618052526185,-0.00033897112174498,-0.00051523610505237
"v34_record_training","fivefold","binary","M1","Oplegnathus_fasciatus",23,2.70707217510609,0.117698790222004,0.0178096853625401,0.00235397580444008
"v34_record_training","fivefold","binary","M1","Oplegnathus_punctatus",1,0.098312577506447,0.098312577506447,0.00064679327306873,0.00196625155012894
"v34_record_training","fivefold","binary","M1","Oreochromis_niloticus",3,-0.202885070195926,-0.0676283567319754,-0.00133477019865741,-0.00135256713463951
"v34_record_training","fivefold","binary","M1","Oxyeleotris_marmorata",2,0.34692642366528,0.17346321183264,0.00228241068200842,0.0034692642366528
"v34_record_training","fivefold","binary","M1","Pagrus_major",9,0.90052409692227,0.100058232991363,0.00592450063764651,0.00200116465982727
"v34_record_training","fivefold","binary","M1","Pampus_argenteus",5,1.1107174360235,0.2221434872047,0.00730735155278618,0.004442869744094
"v34_record_training","fivefold","binary","M1","Paralichthys_olivaceus",2,0.163152889125866,0.081576444562933,0.00107337427056491,0.00163152889125866
"v34_record_training","fivefold","binary","M1","Platax_orbicularis",1,0.112327214332802,0.112327214332802,0.000738994831136855,0.00224654428665604
"v34_record_training","fivefold","binary","M1","Platichthys_stellatus",1,0.081576444562933,0.081576444562933,0.000536687135282454,0.00163152889125866
"v34_record_training","fivefold","binary","M1","Plectropomus_leopardus",2,0.224654428665604,0.112327214332802,0.00147798966227371,0.00224654428665604
"v34_record_training","fivefold","binary","M1","Poecilia_latipinna",1,0.35506050034419,0.35506050034419,0.00233592434436967,0.0071012100068838
"v34_record_training","fivefold","binary","M1","Poecilia_reticulata",3,1.47422274088521,0.491407580295069,0.0096988338216132,0.00982815160590138
"v34_record_training","fivefold","binary","M1","Poropanchax_normani",2,-0.435838053939566,-0.217919026969783,-0.00286735561802346,-0.00435838053939566
"v34_record_training","fivefold","binary","M1","Pterapogon_kauderni",3,-1.46466960917851,-0.488223203059502,-0.00963598427091122,-0.00976446406119004
"v34_record_training","fivefold","binary","M1","Pterophyllum_scalare",1,0.076424918805086,0.076424918805086,0.000502795518454513,0.00152849837610172
"v34_record_training","fivefold","binary","M1","Pygocentrus_nattereri",1,-0.788886588411811,-0.788886588411811,-0.00519004334481455,-0.0157777317682362
"v34_record_training","fivefold","binary","M1","Rhabdosargus_sarba",1,-0.0422989062777299,-0.0422989062777299,-0.00027828227814296,-0.000845978125554598
"v34_record_training","fivefold","binary","M1","Sciaenops_ocellatus",1,0.112327214332802,0.112327214332802,0.000738994831136855,0.00224654428665604
"v34_record_training","fivefold","binary","M1","Scophthalmus_maximus",1,0.12687845763055,0.12687845763055,0.000834726694937829,0.002537569152611
"v34_record_training","fivefold","binary","M1","Seriola_dumerili",2,0.231706837867614,0.115853418933807,0.0015243870912343,0.00231706837867614
"v34_record_training","fivefold","binary","M1","Siniperca_chuatsi",11,1.56995271585368,0.142722974168516,0.010328636288511,0.00285445948337032
"v34_record_training","fivefold","binary","M1","Siniperca_scherzeri",4,-0.145222167572044,-0.036305541893011,-0.0009554089971845,-0.00072611083786022
"v34_record_training","fivefold","binary","M1","Thunnus_orientalis",3,-0.256017957398716,-0.0853393191329054,-0.00168432866709682,-0.00170678638265811
"v34_record_training","fivefold","binary","M1","Trichopodus_trichopterus",1,-0.315876107078373,-0.315876107078373,-0.00207813228341035,-0.00631752214156746
"v34_record_training","fivefold","binary","M1","Xiphophorus_hellerii",4,1.42024200137676,0.35506050034419,0.00934369737747869,0.0071012100068838
"v34_record_training","fivefold","binary","M1","Xiphophorus_maculatus",1,0.454825458811783,0.454825458811783,0.00299227275534068,0.00909650917623566
"v34_record_training","fivefold","binary","M2","Acanthopagrus_schlegelii",4,-2.65583538337784,-0.66395884584446,-0.0174726012064332,-0.0132791769168892
"v34_record_training","fivefold","binary","M2","Astronotus_ocellatus",2,0.168221577500258,0.084110788750129,0.00110672090460696,0.00168221577500258
"v34_record_training","fivefold","binary","M2","Carassius_auratus",4,4.36569889577859,1.09142472394465,0.0287217032617012,0.0218284944788929
"v34_record_training","fivefold","binary","M2","Carassius_carassius",1,1.09142472394465,1.09142472394465,0.00718042581542531,0.0218284944788929
"v34_record_training","fivefold","binary","M2","Channa_argus",1,0.425771566820173,0.425771566820173,0.00280112872908009,0.00851543133640346
"v34_record_training","fivefold","binary","M2","Cirrhinus_molitorella",1,1.132558307235,1.132558307235,0.00745104149496712,0.0226511661447
