"Version","Design","Route","Model","TrainWeighting","EvalWeighting","Inference","Species","Records","Difference","SE","Z","P","ScaledDifference","ScaledSE","AuditPurpose"
"v34_record_training","tenfold","binary","M2","record_equal","record_equal","current_species_bootstrap",50,152,0.0929488583474897,0.0515042626957842,1.80468282589546,0.0711243287986016,14.1282264688184,7.82864792975919,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","binary","M2","record_equal","species_equal","analytic_species_sums_or_means",50,152,0.128263855275022,0.0612330073512364,2.09468489011641,0.0361990132957427,19.4961060018033,9.30741711738793,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","binary","M2","record_equal","species_equal","current_species_bootstrap",50,152,0.128263855275022,0.0611996045377482,2.09582817150245,0.0360974363413524,19.4961060018033,9.30233988973772,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","binary","M3","record_equal","record_equal","analytic_species_sums_or_means",50,152,0.109319510759093,0.0457719795412957,2.38835007475403,0.0169242120330319,16.6165656353822,6.95734089027694,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","binary","M3","record_equal","record_equal","current_species_bootstrap",50,152,0.109319510759093,0.0447516685271507,2.4428030139875,0.0145736895522188,16.6165656353822,6.8022536161269,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","binary","M3","record_equal","species_equal","analytic_species_sums_or_means",50,152,0.132440992765844,0.0565284105140629,2.34291025630194,0.0191339848940475,20.1310309004083,8.59231839813756,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","binary","M3","record_equal","species_equal","current_species_bootstrap",50,152,0.132440992765844,0.0564241670630012,2.34723877479601,0.0189131300809298,20.1310309004083,8.57647339357618,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","joint_bb","M1","record_equal","record_equal","analytic_species_sums_or_means",51,153,0.0328887491596663,0.0416622163943687,0.789414294437578,0.429869903931785,5.03197862142894,6.37431910833842,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","joint_bb","M1","record_equal","record_equal","current_species_bootstrap",51,153,0.0328887491596663,0.0410579101800372,0.801033199582017,0.423112426219534,5.03197862142894,6.28186025754569,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","joint_bb","M1","record_equal","species_equal","analytic_species_sums_or_means",51,153,0.0288668465325395,0.0870163843154363,0.331740358550138,0.740085323053917,4.41662751947854,13.3135068002618,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","joint_bb","M1","record_equal","species_equal","current_species_bootstrap",51,153,0.0288668465325395,0.0855845484009307,0.337290399632763,0.735897996115743,4.41662751947854,13.0944359053424,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","joint_bb","M2","record_equal","record_equal","analytic_species_sums_or_means",51,153,0.06162043056109,0.0425395511283179,1.44854444691285,0.147464844893661,9.42792587584677,6.50855132263264,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","joint_bb","M2","record_equal","record_equal","current_species_bootstrap",51,153,0.06162043056109,0.0419519465195088,1.46883364595335,0.141877915678489,9.42792587584677,6.41864781748485,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","joint_bb","M2","record_equal","species_equal","analytic_species_sums_or_means",51,153,0.0715499195640809,0.0873386861097138,0.81922367682748,0.412658808680997,10.9471376933044,13.3628189747862,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","joint_bb","M2","record_equal","species_equal","current_species_bootstrap",51,153,0.0715499195640809,0.0859281729181215,0.832671254772969,0.40503016051578,10.9471376933044,13.1470104564726,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","joint_bb","M3","record_equal","record_equal","analytic_species_sums_or_means",51,153,0.0858724589331703,0.0474526727686249,1.80964430290106,0.0703509649335331,13.1384862167751,7.26025893359961,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","joint_bb","M3","record_equal","record_equal","current_species_bootstrap",51,153,0.0858724589331703,0.0432498994300893,1.98549499686069,0.0470894262092918,13.1384862167751,6.61723461280366,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","joint_bb","M3","record_equal","species_equal","analytic_species_sums_or_means",51,153,0.0972572277612566,0.0765207829738125,1.27099101683971,0.203731844453016,14.8803558474723,11.7076797949933,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","joint_bb","M3","record_equal","species_equal","current_species_bootstrap",51,153,0.0972572277612566,0.0761773609496039,1.27672088595453,0.201700805025793,14.8803558474723,11.6551362252894,"method_attribution_only_fixed_saved_OOF"
