"Design","Fold","Route","Model","TrainWeighting","EvalWeighting","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"fivefold",2,"joint_bb","Null","species_equal","record_equal",45,10,45,10,10,10,45,-60.6550791819171,-1.34789064848705,,,0.367933087209571,0.391805101782638,-0.134263787324594,45,1,0.970765217970035,45,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",2,"joint_bb","Null","species_equal","species_equal",45,10,45,10,10,10,45,-71.4595748868142,-1.58799055304032,,,0.35496023504716,0.389716417919356,-0.0695402768576055,45,1,0.941064522100986,45,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",3,"joint_bb","Null","species_equal","record_equal",23,10,23,10,10,10,23,-17.9819178699552,-0.78182251608501,,,0.311234759439821,0.396901177764328,0.165311725115932,23,1,0.873820023525858,23,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",3,"joint_bb","Null","species_equal","species_equal",23,10,23,10,10,10,23,-21.4736835762297,-0.933638416357812,,,0.337900155965599,0.426756423089016,0.224152304826077,23,1,0.877320866079659,23,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",4,"joint_bb","Null","species_equal","record_equal",40,10,40,10,9,9,40,-59.0790791888975,-1.47697697972244,,,0.329188808906133,0.370585194336274,-0.0331832649594319,36,1,0.966099064519246,36,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",4,"joint_bb","Null","species_equal","species_equal",40,10,40,10,9,9,40,-55.0059198440215,-1.37514799610054,,,0.383054101895878,0.421834292464482,0.0572959874411168,36,1,0.940800526439064,36,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",5,"joint_bb","Null","species_equal","record_equal",28,10,28,10,10,10,28,-39.3419878926818,-1.40507099616721,,,0.331567752557447,0.364312358473111,-0.100992647972037,28,1,0.939398189121494,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",5,"joint_bb","Null","species_equal","species_equal",28,10,28,10,10,10,28,-39.0076462608766,-1.39313022360274,,,0.322045781040628,0.378091418689586,0.0359835425041538,28,1,0.883423090933041,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",1,"joint_bb","M1","record_equal","record_equal",17,11,17,11,9,9,17,-16.8897556894208,-0.993515040554163,,,0.245152789141259,0.297188472390267,-0.0339854099777267,13,1,0.861398855518534,13,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",1,"joint_bb","M1","record_equal","species_equal",17,11,17,11,9,9,17,-17.8526581825197,-1.05015636367763,,,0.255776106178686,0.307482177164937,0.0492434415019712,13,1,0.866021623664003,13,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",2,"joint_bb","M1","record_equal","record_equal",45,10,45,10,10,10,45,-58.3056733988108,-1.29568163108469,,,0.313062551842023,0.348672856517652,-0.103786756520565,45,1,0.957538299927171,45,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",2,"joint_bb","M1","record_equal","species_equal",45,10,45,10,10,10,45,-79.1274980990122,-1.75838884664472,,,0.339990763462762,0.38799568502509,-0.0805031854365517,45,1,0.931180468870225,45,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",3,"joint_bb","M1","record_equal","record_equal",23,10,23,10,10,10,23,-21.3059778358081,-0.926346862426439,,,0.341463848525016,0.407702167234593,0.125830796441132,23,1,0.833019016378692,23,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",3,"joint_bb","M1","record_equal","species_equal",23,10,23,10,10,10,23,-24.5636638245581,-1.06798538367644,,,0.361728823835638,0.41793847403064,0.146478696528005,23,1,0.868430317807368,23,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",4,"joint_bb","M1","record_equal","record_equal",40,10,40,10,9,9,40,-58.42785719253,-1.46069642981325,,,0.30210030523278,0.348905512638047,0.0171376360738925,36,0.972222222222222,0.955970667253615,36,"full_metric_valid_set_weights; PI_matches_record_observation_model"
