"Design","Route","Model","TrainWeighting","EvalWeighting","FoldCount","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","PooledAUC","FoldMeanAUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"tenfold","joint_bb","M1","species_equal","record_equal",10,153,51,153,51,48,48,153,-193.099541438554,-1.26208850613434,,,,,0.301842863355009,0.347790600805898,-0.0245609030385663,145,0.993103448275862,0.923217429334867,145,"full_design_records"
"tenfold","joint_bb","M1","species_equal","species_equal",10,153,51,153,51,48,48,153,-207.205862010637,-1.35428667980808,,,,,0.320404775501645,0.374891967748808,0.0489571764633814,145,0.979166666666667,0.885780775205542,145,"full_design_records"
"tenfold","joint_bb","M2","record_equal","record_equal",10,153,51,153,51,48,48,153,-189.202913158512,-1.23662034744126,,,,,0.289856786040605,0.343140030573531,0.0034696623224806,145,0.979310344827586,0.915990233055568,145,"full_design_records"
"tenfold","joint_bb","M2","record_equal","species_equal",10,153,51,153,51,48,48,153,-194.504104319856,-1.27126865568533,,,,,0.305880417853198,0.36499504556651,0.0734891335311162,145,0.953125,0.873787403463232,145,"full_design_records"
"tenfold","joint_bb","M2","species_equal","record_equal",10,153,51,153,51,48,48,153,-186.930594405594,-1.22176859088623,,,,,0.288371738822328,0.33329567886138,-0.0288426068027818,145,0.993103448275862,0.919889474871235,145,"full_design_records"
"tenfold","joint_bb","M2","species_equal","species_equal",10,153,51,153,51,48,48,153,-195.018382728594,-1.27462995247447,,,,,0.300804317756954,0.353752805280186,0.0395044421846326,145,0.979166666666667,0.881063701787488,145,"full_design_records"
"tenfold","joint_bb","M3","record_equal","record_equal",10,153,51,153,51,48,48,153,-185.492352817584,-1.21236831906918,,,,,0.273693900384771,0.325392616036239,-0.0030943204575316,145,0.993103448275862,0.921546480900654,145,"full_design_records"
"tenfold","joint_bb","M3","record_equal","species_equal",10,153,51,153,51,48,48,153,-190.570886165688,-1.24556134748816,,,,,0.29377133603045,0.351711897767083,0.0596691726410127,145,0.979166666666667,0.883960187504802,145,"full_design_records"
"tenfold","joint_bb","M3","species_equal","record_equal",10,153,51,153,51,48,48,153,-186.190457816992,-1.21693109684308,,,,,0.269726291863872,0.32124692950199,-0.0188060520710364,145,0.993103448275862,0.91042627599428,145,"full_design_records"
"tenfold","joint_bb","M3","species_equal","species_equal",10,153,51,153,51,48,48,153,-195.634572219843,-1.27865733477021,,,,,0.292677489904615,0.350241940021862,0.0349457303062006,145,0.979166666666667,0.870919705783228,145,"full_design_records"
