"Route","Model","TrainWeighting","EvalWeighting","Subset","Statistic","Records","Species","Observed","PPC_Lower95","PPC_Median","PPC_Upper95","Status","Scope"
"binary","M3","species_equal","record_equal","classified","OneFraction",152,50,0.763157894736842,0.638157894736842,0.736842105263158,0.822368421052632,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","species_equal","species_equal","classified","Mean",152,50,0.694444444444444,0.578641392182697,0.694283596837945,0.79749329161177,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","species_equal","species_equal","classified","SD",152,50,0.460642331993806,0.401867805139978,0.46071019513044,0.493776801489013,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","species_equal","species_equal","classified","ZeroFraction",152,50,0.305555555555556,0.20250670838823,0.305716403162055,0.421358607817303,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","species_equal","species_equal","classified","OneFraction",152,50,0.694444444444444,0.578641392182697,0.694283596837945,0.79749329161177,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","record_equal","count","Mean",105,29,0.71258024691358,0.643164336104812,0.732265432098765,0.816748393801965,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","record_equal","count","SD",105,29,0.412829946915986,0.337507635172031,0.396855873359362,0.43975083828178,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","record_equal","count","ZeroFraction",105,29,0.142857142857143,0.0666666666666667,0.142857142857143,0.228571428571429,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","record_equal","count","OneFraction",105,29,0.60952380952381,0.466666666666667,0.580952380952381,0.695238095238095,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","species_equal","count","Mean",105,29,0.542231648725902,0.614066067420234,0.732939009691883,0.83535765806671,"REVIEW_REQUIRED","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","species_equal","count","SD",105,29,0.448805781556778,0.319289799629902,0.39573469732464,0.448648688055426,"REVIEW_REQUIRED","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","species_equal","count","ZeroFraction",105,29,0.28448275862069,0.0563363934915659,0.142230183609494,0.260293327362293,"REVIEW_REQUIRED","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","species_equal","count","OneFraction",105,29,0.400656814449918,0.443110912076429,0.586703239289446,0.725886139722347,"REVIEW_REQUIRED","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","record_equal","exact","Mean",40,25,0.7318225,0.649178936496216,0.732189996516103,0.807843518138915,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","record_equal","exact","SD",40,25,0.224076234223422,0.153824853749758,0.20129517206767,0.25583998920218,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","record_equal","exact","ZeroFraction",40,25,0,0,0,0,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","record_equal","exact","OneFraction",40,25,0.15,0.025,0.15,0.3,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","species_equal","exact","Mean",40,25,0.707178,0.644115799114754,0.732252575396318,0.812914572880623,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","species_equal","exact","SD",40,25,0.245520713008088,0.150113583622166,0.200294216250433,0.258585213596927,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","species_equal","exact","ZeroFraction",40,25,0,0,0,0,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","species_equal","exact","OneFraction",40,25,0.14,0.02,0.136,0.32,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"joint_bb","Null","record_equal","record_equal","all_point","Mean",145,48,0.717888454661558,0.657738355100191,0.732233571173768,0.80152959281928,"OK","training_only_same_records_types_weights; intervals_not_imputed"
