"Threshold","FPR","TPR","EvalWeighting","Design","Model","TrainWeighting","Fold","AUC"
0.775077640024867,0.6,0.733333333333333,"record_equal","fivefold","M3","record_equal",1,0.633333333333333
0.669107763398861,0.6,0.933333333333333,"record_equal","fivefold","M3","record_equal",1,0.633333333333333
0.599645686657011,0.8,0.933333333333333,"record_equal","fivefold","M3","record_equal",1,0.633333333333333
0.515714370245279,0.8,1,"record_equal","fivefold","M3","record_equal",1,0.633333333333333
0.238110895895995,1,1,"record_equal","fivefold","M3","record_equal",1,0.633333333333333
Inf,0,0,"record_equal","fivefold","M3","record_equal",2,0.868055555555556
0.860445704751697,0,0.166666666666667,"record_equal","fivefold","M3","record_equal",2,0.868055555555556
0.8493890409785,0.166666666666667,0.666666666666667,"record_equal","fivefold","M3","record_equal",2,0.868055555555556
0.705754595548014,0.166666666666667,0.916666666666667,"record_equal","fivefold","M3","record_equal",2,0.868055555555556
0.690278301188705,0.583333333333333,0.916666666666667,"record_equal","fivefold","M3","record_equal",2,0.868055555555556
0.594135674263151,0.583333333333333,1,"record_equal","fivefold","M3","record_equal",2,0.868055555555556
0.423292813227191,1,1,"record_equal","fivefold","M3","record_equal",2,0.868055555555556
Inf,0,0,"record_equal","fivefold","M3","record_equal",3,0.755639097744361
0.846221352924662,0.142857142857143,0.0526315789473684,"record_equal","fivefold","M3","record_equal",3,0.755639097744361
0.834285695577183,0.142857142857143,0.473684210526316,"record_equal","fivefold","M3","record_equal",3,0.755639097744361
0.832621339647285,0.428571428571429,0.789473684210526,"record_equal","fivefold","M3","record_equal",3,0.755639097744361
0.810135392702826,0.428571428571429,1,"record_equal","fivefold","M3","record_equal",3,0.755639097744361
0.808212450507076,0.571428571428571,1,"record_equal","fivefold","M3","record_equal",3,0.755639097744361
0.432726810349918,1,1,"record_equal","fivefold","M3","record_equal",3,0.755639097744361
Inf,0,0,"record_equal","fivefold","M3","record_equal",4,0.925925925925926
0.797598535246554,0,0.425925925925926,"record_equal","fivefold","M3","record_equal",4,0.925925925925926
0.786021727085528,0,0.62962962962963,"record_equal","fivefold","M3","record_equal",4,0.925925925925926
0.776705420396225,0,0.722222222222222,"record_equal","fivefold","M3","record_equal",4,0.925925925925926
0.766854961761477,0.166666666666667,0.87037037037037,"record_equal","fivefold","M3","record_equal",4,0.925925925925926
0.756474362694956,0.166666666666667,0.944444444444444,"record_equal","fivefold","M3","record_equal",4,0.925925925925926
