"Design","Model","TrainWeighting","EvalWeighting","Bin","RecordsUsed","SpeciesUsed","WeightSum","MeanPredicted","ObservedRate","CalibrationLower","CalibrationUpper","BootstrapValid","IntervalStatus"
"fivefold","M3","species_equal","species_equal","[0,0.2)",1,1,3.04,0.195069534327713,0,0,0,2000,"INSUFFICIENT_SUPPORT"
"fivefold","M3","species_equal","species_equal","[0.2,0.4)",6,3,9.12,0.269536588688164,0,0,0,2000,"DEGENERATE_INTERVAL"
"fivefold","M3","species_equal","species_equal","[0.4,0.6)",16,9,27.36,0.538442845961101,0.555555555555556,0.222222222222222,0.888888888888889,2000,"LIMITED_SPECIES"
"fivefold","M3","species_equal","species_equal","[0.6,0.8)",57,18,54.72,0.737064429743601,0.757716049382716,0.549382716049383,0.938271604938272,2000,"OK"
"fivefold","M3","species_equal","species_equal","[0.8,1]",72,19,57.76,0.823937871468393,0.846491228070175,0.723684210526316,0.942982456140351,2000,"OK"
"tenfold","Null","record_equal","species_equal","[0.6,0.8)",152,50,152,0.759186048704083,0.694444444444444,0.569986111111111,0.802236111111111,2000,"OK"
"tenfold","Null","species_equal","species_equal","[0.6,0.8)",152,50,152,0.691816162095489,0.694444444444444,0.569986111111111,0.802236111111111,2000,"OK"
"tenfold","M1","record_equal","species_equal","[0.2,0.4)",10,5,15.2,0.284631041974237,0,0,0,2000,"DEGENERATE_INTERVAL"
"tenfold","M1","record_equal","species_equal","[0.4,0.6)",10,7,21.28,0.499866933848905,0.571428571428571,0.282142857142857,0.857142857142857,2000,"LIMITED_SPECIES"
"tenfold","M1","record_equal","species_equal","[0.6,0.8)",37,10,30.4,0.72981779099111,0.588888888888889,0.338888888888889,0.838958333333333,2000,"OK"
"tenfold","M1","record_equal","species_equal","[0.8,1]",95,28,85.12,0.844811281637429,0.886904761904762,0.776785714285714,0.967261904761905,2000,"OK"
"tenfold","M1","species_equal","species_equal","[0.2,0.4)",12,7,21.28,0.28274275278531,0.285714285714286,0,0.571428571428571,2000,"LIMITED_SPECIES"
"tenfold","M1","species_equal","species_equal","[0.4,0.6)",15,7,21.28,0.522332344681238,0.285714285714286,0,0.714285714285714,2000,"LIMITED_SPECIES"
"tenfold","M1","species_equal","species_equal","[0.6,0.8)",54,17,51.68,0.748878885454088,0.88562091503268,0.808823529411765,0.954289215686274,2000,"OK"
"tenfold","M1","species_equal","species_equal","[0.8,1]",71,19,57.76,0.837270125695934,0.824561403508772,0.649122807017544,0.982456140350877,2000,"OK"
"tenfold","M2","record_equal","species_equal","[0.2,0.4)",8,5,15.2,0.30460982384203,0.2,0,0.6,2000,"LIMITED_SPECIES"
"tenfold","M2","record_equal","species_equal","[0.4,0.6)",12,7,21.28,0.529949240216135,0.428571428571429,0.142857142857143,0.857142857142857,2000,"LIMITED_SPECIES"
"tenfold","M2","record_equal","species_equal","[0.6,0.8)",16,5,15.2,0.690695043243325,0.45,0.1,0.8,2000,"LIMITED_SPECIES"
"tenfold","M2","record_equal","species_equal","[0.8,1]",116,33,100.32,0.821147183379987,0.862794612794613,0.760079966329966,0.952041245791246,2000,"OK"
"tenfold","M2","species_equal","species_equal","[0.2,0.4)",11,6,18.24,0.277360644639048,0.166666666666667,0,0.5,2000,"LIMITED_SPECIES"
"tenfold","M2","species_equal","species_equal","[0.4,0.6)",16,8,24.32,0.517317559872162,0.375,0.125,0.75,2000,"LIMITED_SPECIES"
"tenfold","M2","species_equal","species_equal","[0.6,0.8)",74,22,66.88,0.771331761745133,0.896464646464647,0.829545454545455,0.955808080808081,2000,"OK"
"tenfold","M2","species_equal","species_equal","[0.8,1]",51,14,42.56,0.824262724196139,0.785714285714286,0.571428571428571,1,2000,"OK"
"tenfold","M3","record_equal","species_equal","[0.2,0.4)",7,4,12.16,0.282122524674256,0,0,0,2000,"DEGENERATE_INTERVAL"
"tenfold","M3","record_equal","species_equal","[0.4,0.6)",14,8,24.32,0.527648787485826,0.625,0.25,0.875,2000,"LIMITED_SPECIES"
"tenfold","M3","record_equal","species_equal","[0.6,0.8)",38,11,33.44,0.699074003233396,0.603535353535354,0.318181818181818,0.866161616161616,2000,"OK"
"tenfold","M3","record_equal","species_equal","[0.8,1]",93,27,82.08,0.838651521108353,0.854938271604938,0.734567901234568,0.947530864197531,2000,"OK"
"tenfold","M3","species_equal","species_equal","[0,0.2)",4,1,3.04,0.184439209187504,0,0,0,2000,"INSUFFICIENT_SUPPORT"
"tenfold","M3","species_equal","species_equal","[0.2,0.4)",6,4,12.16,0.28477274166229,0,0,0,2000,"DEGENERATE_INTERVAL"
"tenfold","M3","species_equal","species_equal","[0.4,0.6)",15,8,24.32,0.545499377553376,0.625,0.25,0.875,2000,"LIMITED_SPECIES"
"tenfold","M3","species_equal","species_equal","[0.6,0.8)",51,18,54.72,0.732303529110306,0.813271604938272,0.638888888888889,0.966049382716049,2000,"OK"
"tenfold","M3","species_equal","species_equal","[0.8,1]",76,19,57.76,0.825942460940618,0.793859649122807,0.640350877192982,0.921052631578947,2000,"OK"
