"Scope","Design","Fold","Route","TrainWeighting","EvalWeighting","Family","Model","Reference","Difference","SE_approx","CI95_lower","CI95_upper","Z_approx","P_approx","IntervalStatus","UncertaintyScope","RecordsUsed","SpeciesUsed","BootstrapReplicates","P_BH"
"fold","tenfold",2,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.109466138099333,0.151675850350076,-0.220183773038918,0.330237335090616,0.721711055825165,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",10,5,2000,
"fold","tenfold",3,"binary","record_equal","record_equal","model_vs_null","M1","Null",0.273197134572677,0.226244190095609,0.019200957456797,0.925346393074989,1.20753215566431,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",9,5,2000,
"fold","tenfold",3,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.264039321452964,0.220891837869075,0.0148044300615426,0.902161480023038,1.19533308247208,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",9,5,2000,
"fold","tenfold",3,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.281630114545413,0.230990050407749,0.0247799141045524,0.948217142903338,1.21923049953136,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",9,5,2000,
"fold","tenfold",4,"binary","record_equal","record_equal","model_vs_null","M1","Null",0.083469837148024,0.0400126967444122,-0.0168257603420968,0.133124817547959,2.08608376689034,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",21,5,2000,
"fold","tenfold",4,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.0624149319757952,0.0370496358675997,-0.0281449779701998,0.107688512610284,1.68463010537649,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",21,5,2000,
"fold","tenfold",4,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.0804963387643162,0.0518276835977065,-0.0426420505897393,0.142065533441344,1.55315331839138,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",21,5,2000,
"fold","tenfold",5,"binary","record_equal","record_equal","model_vs_null","M1","Null",-0.00955915291407723,0.067860248081207,-0.180084390471895,0.111123921188703,-0.140865280990986,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",16,5,2000,
"fold","tenfold",5,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.0391188549164503,0.0413218419586412,-0.0874226638283814,0.0901811074979505,0.946687104500425,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",16,5,2000,
"fold","tenfold",5,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.00728656611892491,0.0504459131021657,-0.0980624099653001,0.108570905805207,0.144443140600266,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",16,5,2000,
"fold","tenfold",6,"binary","record_equal","record_equal","model_vs_null","M1","Null",-0.0538176191015196,0.222968897016961,-0.652395662836179,0.104547116223035,-0.241368279708653,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",31,5,2000,
"fold","tenfold",6,"binary","record_equal","record_equal","model_vs_null","M2","Null",-0.0838402911907329,0.248866181572575,-0.720333343340643,0.10394447537808,-0.336889048809082,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",31,5,2000,
"fold","tenfold",6,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.0484506498121329,0.133542487660351,-0.374782780496065,0.124973523294485,0.362810747807553,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",31,5,2000,
"fold","tenfold",7,"binary","record_equal","record_equal","model_vs_null","M1","Null",0.173255356575358,0.111978370108519,0.0537026512072795,0.503567578196822,1.54722163224429,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",12,5,2000,
"fold","tenfold",7,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.160655607068327,0.111973975633779,0.0784236898017663,0.501120417090794,1.43475844417426,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",12,5,2000,
"fold","tenfold",7,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.0865164583758431,0.136657371612488,-0.147572051829004,0.40980486090442,0.633090314521587,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",12,5,2000,
"fold","tenfold",8,"binary","record_equal","record_equal","model_vs_null","M1","Null",0.210837255701768,0.165545047042574,0.00135752260009757,0.596281296756482,1.27359446548434,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",19,5,2000,
"fold","tenfold",8,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.165019775517156,0.141629167788028,0.000445632879441771,0.486748335373276,1.16515388810401,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",19,5,2000,
"fold","tenfold",8,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.161436438345601,0.142321373044105,-0.00187277181089407,0.505491192354798,1.13430916869789,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",19,5,2000,
"fold","tenfold",9,"binary","record_equal","record_equal","model_vs_null","M1","Null",0.095890546721467,0.0912948892487055,0.00125103788325548,0.320207943987473,1.05033860614302,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",15,5,2000,
"fold","tenfold",9,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.105027934728856,0.119411832892585,-0.0177633438286943,0.409240443275991,0.87954377874203,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",15,5,2000,
"fold","tenfold",9,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.0566945508698754,0.11097692629624,-0.130652856143932,0.312201088987732,0.510867914277387,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",15,5,2000,
"fold","tenfold",10,"binary","record_equal","record_equal","model_vs_null","M1","Null",0.55487329507401,0.340426300168244,-0.171748560344129,1.01726902124919,1.62993662592985,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",9,5,2000,
"fold","tenfold",10,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.482150728738123,0.357915854614988,-0.254755986603344,0.972707692314489,1.34710637296796,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",9,5,2000,
"fold","tenfold",10,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.544477315724942,0.3417854846647,-0.169063663110763,1.00847232623036,1.59303814864779,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",9,5,2000,
"fold","tenfold",1,"binary","species_equal","record_equal","model_vs_null","M1","Null",-0.00305113481230811,0.166574136222944,-0.325280573218097,0.242867826636602,-0.0183169781425398,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",10,5,2000,
"fold","tenfold",1,"binary","species_equal","record_equal","model_vs_null","M2","Null",0.0548455843321767,0.107911405321576,-0.137950497982276,0.269515802227797,0.508246409809388,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",10,5,2000,
"fold","tenfold",1,"binary","species_equal","record_equal","model_vs_null","M3","Null",0.0372503420216762,0.0823753933803346,-0.1152152758121,0.180680397547878,0.452202296014394,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",10,5,2000,
"fold","tenfold",2,"binary","species_equal","record_equal","model_vs_null","M1","Null",0.0752117204297513,0.157601412677135,-0.309618084557426,0.300920274247277,0.477227450897482,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",10,5,2000,
"fold","tenfold",2,"binary","species_equal","record_equal","model_vs_null","M2","Null",0.0983195592389806,0.199919102257424,-0.361858233957047,0.370913100339448,0.491796722418152,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",10,5,2000,
"fold","tenfold",2,"binary","species_equal","record_equal","model_vs_null","M3","Null",0.0612858872168732,0.111326710690743,-0.213621370892022,0.230804200156585,0.550504787544837,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",10,5,2000,
"fold","tenfold",3,"binary","species_equal","record_equal","model_vs_null","M1","Null",0.247520180629034,0.179767618434292,0.0488330796666856,0.764106643131141,1.37688969117375,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",9,5,2000,
"fold","tenfold",3,"binary","species_equal","record_equal","model_vs_null","M2","Null",0.238821196208672,0.177039847865859,0.0414639583102345,0.748910663985418,1.34896860276124,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",9,5,2000,
