id,a,b,lo,hi,Group,ReferenceLogP,ReferenceMethod,PrecisionDigits
grid_31,1,50,0.001,0.01,inherited_266,-1.060739904122129726523369843502637037665230992911912004582967004953342976319754625321095463831074201,closed_a1,100
grid_32,5,50,0.001,0.01,inherited_266,-8.466597050293848659990645617907668277866929802093401339732125265507029180824452179840748328046151418,high_precision_lower_interval,100
grid_33,50,50,0.001,0.01,inherited_266,-164.6505327582913379559128362841199064956806054231142827344058430228382811262101483782057924545017301,high_precision_lower_interval,100
grid_34,200,50,0.001,0.01,inherited_266,-800.797998602007148913311995112721967570669814578700246391474799740899247845350415371612180878474805,high_precision_lower_interval,100
grid_35,1000,50,0.001,0.01,inherited_266,-4410.542619821478260201716990117245664235054238366251139946266256710723616859314918747480854669318007,high_precision_lower_interval,100
grid_36,0.050000000000000003,200,0.001,0.01,inherited_266,-2.843111210653364219296348854899888756853627205375610568563182915410879612398783403146313495497770408,high_precision_complement_interval,100
grid_37,0.20000000000000001,200,0.001,0.01,inherited_266,-1.501144978504954773433038580600442847903678616357764542318206405008864830585368752199941756431158931,high_precision_complement_interval,100
grid_38,1,200,0.001,0.01,inherited_266,-0.378819543350418888688925097713243565003121545402131047572506847786839370004101425707529894171873576,closed_a1,100
grid_39,5,200,0.001,0.01,inherited_266,-2.893042924162954118719101752100014494924656931659684603145700253526322568608416021846526073302191921,high_precision_lower_interval,100
grid_40,50,200,0.001,0.01,inherited_266,-110.1060210677010482988963366957928607238837805243977447970471935406392460244264475792066225485432933,high_precision_lower_interval,100
grid_41,200,200,0.001,0.01,inherited_266,-649.6804277862018889382822494886795995057015715362287439016711880630081737652216713977912579714658676,high_precision_lower_interval,100
grid_42,1000,200,0.001,0.01,inherited_266,-4071.763868558415172746065148363069666062782737629725855162830852195453185732770458394770404363553385,high_precision_lower_interval,100
grid_43,0.050000000000000003,1000,0.001,0.01,inherited_266,-4.463414727679662140326563323453088914012444150218655400920351624642653064530229800749703272686112795,high_precision_complement_interval,100
grid_44,0.20000000000000001,1000,0.001,0.01,inherited_266,-2.949402026724914252984747093518206903324322235530703559136608694386441485133717567614528314717454671,high_precision_complement_interval,100
grid_45,1,1000,0.001,0.01,inherited_266,-1.00061775082366239239247064773044437524205053955138882839193322231866871273182601032561683077476392,closed_a1,100
grid_46,5,1000,0.001,0.01,inherited_266,-0.03215845712700175073266671312577916375134493745455166581350238775914612161455538283962843278903430921,high_precision_complement_interval,100
grid_47,50,1000,0.001,0.01,inherited_266,-41.96425477810729373842587988212341832294557914548808028592963446010574248904929675957056676032390762,high_precision_lower_interval,100
grid_48,200,1000,0.001,0.01,inherited_266,-394.0090696628527037004342967855521490271929428032112265158551616033750442350051005580058584113002902,high_precision_lower_interval,100
grid_49,1000,1000,0.001,0.01,inherited_266,-3233.625493372110079646975849589088076955467354448936239322341349441906138703515521911289342393943906,high_precision_lower_interval,100
grid_50,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.14999999999999999,inherited_266,-3.621127324460215804041184353532122202011966238877445836667224915007236775660612163542664653770982661,high_precision_lower_interval,100
grid_51,0.20000000000000001,0.050000000000000003,0.050000000000000003,0.14999999999999999,inherited_266,-3.504656337985287482461402068075353847146668479198565086416757431998636413941648633384220198020260534,high_precision_lower_interval,100
grid_52,1,0.050000000000000003,0.050000000000000003,0.14999999999999999,inherited_266,-5.197270682658048651873779410845960332300810224265712114084800654903014997062950367174165327601150786,closed_a1,100
