"Case","Group","a","b","lo","hi","Reference","Stan","Audit","OldAudit","StanAbsError","AuditAbsError","OldAuditAbsError","StanAuditAbsDifference","Allowed","StanPass","AuditPass","PairPass"
"grid_71","inherited_266",0.05,5,0.05,0.15,-3.29926743079127,-3.29926743079126,-3.29926743079128,-3.29926743079128,1.64313007644523e-14,1.77635683940025e-15,1.77635683940025e-15,1.82076576038526e-14,3.29926743079127e-10,TRUE,TRUE,TRUE
"grid_72","inherited_266",0.2,5,0.05,0.15,-1.99540010831435,-1.99540010831435,-1.99540010831435,-1.99540010831435,2.44249065417534e-15,1.77635683940025e-15,1.77635683940025e-15,6.66133814775094e-16,1.99540010831435e-10,TRUE,TRUE,TRUE
"grid_73","inherited_266",1,5,0.05,0.15,-1.10843348410961,-1.10843348410962,-1.10843348410961,-1.10843348410961,1.55431223447522e-15,4.44089209850063e-16,4.44089209850063e-16,1.99840144432528e-15,1.10843348410961e-10,TRUE,TRUE,TRUE
"grid_74","inherited_266",5,5,0.05,0.15,-5.18580313810001,-5.18580313810001,-5.18580313810001,-5.18580313810001,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,1.77635683940025e-15,5.18580313810001e-10,TRUE,TRUE,TRUE
"grid_75","inherited_266",50,5,0.05,0.15,-82.8278976518003,-82.8278976518003,-82.8278976518003,-82.8278976518003,1.4210854715202e-14,0,0,1.4210854715202e-14,8.28278976518004e-09,TRUE,TRUE,TRUE
"grid_76","inherited_266",200,5,0.05,0.15,-362.005713059074,-362.005713059074,-362.005713059074,-362.005713059074,0,0,0,0,3.62005713059074e-08,TRUE,TRUE,TRUE
"grid_77","inherited_266",1000,5,0.05,0.15,-1873.30640298394,-1873.30640298394,-1873.30640298394,-1873.30640298394,0,0,0,0,1.87330640298394e-07,TRUE,TRUE,TRUE
"grid_78","inherited_266",0.05,50,0.05,0.15,-6.65689316781113,-6.65689316781114,-6.65689316781113,-6.65689316781113,4.44089209850063e-15,3.5527136788005e-15,3.5527136788005e-15,8.88178419700125e-16,6.65689316781113e-10,TRUE,TRUE,TRUE
"grid_79","inherited_266",0.2,50,0.05,0.15,-5.0391788728499,-5.0391788728499,-5.03917887284991,-5.03917887284991,3.5527136788005e-15,6.21724893790088e-15,6.21724893790088e-15,9.76996261670138e-15,5.0391788728499e-10,TRUE,TRUE,TRUE
"grid_80","inherited_266",1,50,0.05,0.15,-2.56851597230833,-2.56851597230834,-2.56851597230833,-2.56851597230833,3.99680288865056e-15,0,0,3.99680288865056e-15,2.56851597230833e-10,TRUE,TRUE,TRUE
"grid_81","inherited_266",5,50,0.05,0.15,-0.234397503757008,-0.234397503757009,-0.234397503757008,-0.234397503757008,1.52655665885959e-15,1.38777878078145e-16,1.38777878078145e-16,1.66533453693773e-15,1e-10,TRUE,TRUE,TRUE
