"Case","Mode","Parameter","Stan","Reference","AbsError","ScaledError"
"grid_81","a_b","b",-0.000121527761439096,-0.000121527761488364,4.9268464199885e-14,4.9268464199885e-14
"grid_82","a_b","a",-1.22286273348949,-1.22286273348902,4.68958205601666e-13,3.83492106480059e-13
"grid_82","a_b","b",0.539759048835679,0.539759048835838,1.58983937126322e-13,1.58983937126322e-13
"grid_83","a_b","a",-1.67869875935342,-1.67869875935232,1.10356168647741e-12,6.57391137230117e-13
"grid_83","a_b","b",1.45586707826956,1.45586707826529,4.27369251099208e-12,2.93549636144277e-12
"grid_84","a_b","a",-1.84931470508839,-1.849314705089,6.10622663543836e-13,3.30188616282294e-13
"grid_84","a_b","b",2.89173836938493,2.89173836934727,3.76592090844952e-11,1.30230346851868e-11
"grid_85","a_b","a",22.8793627681172,22.8793627680061,1.11100462163449e-10,4.85592467281516e-12
"grid_85","a_b","b",-0.0556859169738324,-0.0556859169738096,2.27942664743352e-14,2.27942664743352e-14
"grid_86","a_b","a",7.67217535880116,7.67217535886007,5.89146509355487e-11,7.67900213171121e-12
"grid_86","a_b","b",-0.0549878559380866,-0.0549878559380379,4.87110352054287e-14,4.87110352054287e-14
"grid_87","a_b","a",2.96925431124089,2.96925431124325,2.36255459640233e-12,7.95672700535076e-13
"grid_87","a_b","b",-0.0512932943632695,-0.0512932943632416,2.79498646449383e-14,2.79498646449383e-14
"grid_88","a_b","a",0.93980766175135,0.939807661751243,1.0769163338864e-13,1.0769163338864e-13
"grid_88","a_b","b",-0.0337123364157656,-0.0337123364157495,1.60496615997374e-14,1.60496615997374e-14
"grid_89","a_b","a",-0.333291124513915,-0.333291124513776,1.39721567649076e-13,1.39721567649076e-13
"grid_89","a_b","b",0.0700693568149751,0.0700693568149798,4.7045700668491e-15,4.7045700668491e-15
"grid_90","a_b","a",-1.20876809598785,-1.20876809598762,2.23154827949656e-13,1.8461343304013e-13
"grid_90","a_b","b",0.532939386567618,0.532939386567162,4.55746551608627e-13,4.55746551608627e-13
"grid_91","a_b","a",-1.71575137330596,-1.7157513733063,3.36841665671272e-13,1.96323121701584e-13
"grid_91","a_b","b",1.63150855306112,1.63150855305976,1.35891298214119e-12,8.32918086511197e-13
"grid_92","a_b","a",24.427739482103,24.4277394816805,4.2247449982824e-10,1.72948667700126e-11
"grid_92","a_b","b",-0.0522261893788296,-0.0522261893788389,9.33975119465913e-15,9.33975119465913e-15
"grid_93","a_b","a",9.21913310715954,9.21913310722999,7.04520886074533e-11,7.64194287987904e-12
"grid_93","a_b","b",-0.0520787926447748,-0.0520787926447734,1.47798440153224e-15,1.47798440153224e-15
"grid_94","a_b","a",4.50837260190095,4.50837260191091,9.96180915535660e-12,2.20962418925495e-12
"grid_94","a_b","b",-0.0512932943875511,-0.0512932943875732,2.21003770839445e-14,2.21003770839445e-14
"grid_95","a_b","a",2.43046566062891,2.43046566062806,8.42881320295419e-13,3.46798283945969e-13
"grid_95","a_b","b",-0.0473819157831518,-0.0473819157831912,3.94129173741931e-14,3.94129173741931e-14
"grid_96","a_b","a",0.146629865573196,0.146629865573167,2.88935542158697e-14,2.88935542158697e-14
"grid_96","a_b","b",-0.00749887650713368,-0.00749887650713432,6.37510877421477e-16,6.37510877421477e-16
"grid_97","a_b","a",-0.132574761160157,-0.132574761160083,7.42184091961917e-14,7.42184091961917e-14
"grid_97","a_b","b",0.0249011914930212,0.0249011914930225,1.26634813746307e-15,1.26634813746307e-15
"grid_98","a_b","a",-1.20493602811967,-1.20493602812128,1.6109336087311e-12,1.33694534077701e-12
"grid_98","a_b","b",0.531092117882291,0.531092117881826,4.64961402713016e-13,4.64961402713016e-13
"grid_99","a_b","a",9.27279268247939,9.27279268118456,1.29482380373247e-09,1.39636876208804e-10
"grid_99","a_b","b",9.475456186358,9.4754561869174,5.59404966793409e-10,5.90372596061147e-11
"grid_100","a_b","a",0.260911602459865,0.260911602563881,1.04015740465258e-10,1.04015740465258e-10
"grid_100","a_b","b",15.671249521604,15.671249521391,2.13020712180878e-10,1.35930904482191e-11
"grid_101","a_b","a",-0.717992849092149,-0.717992849093389,1.24000809620384e-12,1.24000809620384e-12
"grid_101","a_b","b",19.3981521024372,19.3981521024493,1.20863319352793e-11,6.23066149365498e-13
"grid_102","a_b","a",-0.770343538154329,-0.770343538155268,9.39248678832882e-13,9.39248678832882e-13
