"Design","Route","Model","TrainWeighting","EvalWeighting","Metric","RawValue","PlotValue","PlotUnits"
"fivefold","binary","M3","species_equal","species_equal","ELPD",-75.5056270413184,-75.5056270413184,"weighted_log_score_sum"
"tenfold","binary","Null","record_equal","record_equal","ELPD",-85.6196370146223,-85.6196370146223,"weighted_log_score_sum"
"tenfold","binary","Null","record_equal","species_equal","ELPD",-97.2958944210294,-97.2958944210294,"weighted_log_score_sum"
"tenfold","binary","Null","species_equal","record_equal","ELPD",-86.918553883783,-86.918553883783,"weighted_log_score_sum"
"tenfold","binary","Null","species_equal","species_equal","ELPD",-96.5307512605379,-96.5307512605379,"weighted_log_score_sum"
"tenfold","binary","M1","record_equal","record_equal","ELPD",-70.1239169491306,-70.1239169491306,"weighted_log_score_sum"
"tenfold","binary","M1","record_equal","species_equal","ELPD",-75.9933584707662,-75.9933584707662,"weighted_log_score_sum"
"tenfold","binary","M1","species_equal","record_equal","ELPD",-69.6627283008154,-69.6627283008154,"weighted_log_score_sum"
"tenfold","binary","M1","species_equal","species_equal","ELPD",-77.6215918292704,-77.6215918292704,"weighted_log_score_sum"
"tenfold","binary","M2","record_equal","record_equal","ELPD",-71.4914105458038,-71.4914105458038,"weighted_log_score_sum"
"tenfold","binary","M2","record_equal","species_equal","ELPD",-77.7997884192261,-77.7997884192261,"weighted_log_score_sum"
"tenfold","binary","M2","species_equal","record_equal","ELPD",-70.777319574047,-70.777319574047,"weighted_log_score_sum"
"tenfold","binary","M2","species_equal","species_equal","ELPD",-78.6204022123388,-78.6204022123388,"weighted_log_score_sum"
"tenfold","binary","M3","record_equal","record_equal","ELPD",-69.0030713792401,-69.0030713792401,"weighted_log_score_sum"
"tenfold","binary","M3","record_equal","species_equal","ELPD",-77.1648635206211,-77.1648635206211,"weighted_log_score_sum"
"tenfold","binary","M3","species_equal","record_equal","ELPD",-67.555677550686,-67.555677550686,"weighted_log_score_sum"
"tenfold","binary","M3","species_equal","species_equal","ELPD",-76.7779618583143,-76.7779618583143,"weighted_log_score_sum"
